data_source,platform,address_id,city,neighborhood,zone_type,lat,lon,product_name,item_price_mxn,delivery_fee_mxn,service_fee_mxn,total_checkout_mxn,eta_minutes,promotions_visible,store_available,scraped_at
playwright_uber_eats,uber_eats,MX_MTY_02,Monterrey,García,periphery,25.78,-100.59,Coca-Cola 600ml,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:28:22Z
playwright_uber_eats,uber_eats,MX_MTY_02,Monterrey,García,periphery,25.78,-100.59,Combo Big Mac,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:28:22Z
playwright_uber_eats,uber_eats,MX_MTY_02,Monterrey,García,periphery,25.78,-100.59,McNuggets 10 piezas,,,,,,Texto promocional visible (sin clasificar),False,2026-04-02T17:28:22Z
playwright_uber_eats,uber_eats,MX_MXL_01,Mexicali,Centro,border_urban,32.624,-115.454,Coca-Cola 600ml,49.0,,,49.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:42:03Z
playwright_uber_eats,uber_eats,MX_MXL_01,Mexicali,Centro,border_urban,32.624,-115.454,Combo Big Mac,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:42:03Z
playwright_uber_eats,uber_eats,MX_MXL_01,Mexicali,Centro,border_urban,32.624,-115.454,McNuggets 10 piezas,,,,,10.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:42:03Z
playwright_uber_eats,uber_eats,MX_PUE_01,Puebla,Angelópolis,urban_secondary,19.0,-98.25,Coca-Cola 600ml,45.0,,,45.0,12.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:29:21Z
playwright_uber_eats,uber_eats,MX_PUE_01,Puebla,Angelópolis,urban_secondary,19.0,-98.25,Combo Big Mac,165.0,,,165.0,12.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:29:21Z
playwright_uber_eats,uber_eats,MX_PUE_01,Puebla,Angelópolis,urban_secondary,19.0,-98.25,McNuggets 10 piezas,165.0,,,165.0,12.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:29:21Z
playwright_uber_eats,uber_eats,MX_QRO_01,Querétaro,Centro Histórico,urban_secondary,20.588,-100.388,Coca-Cola 600ml,55.0,,,55.0,15.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:30:27Z
playwright_uber_eats,uber_eats,MX_QRO_01,Querétaro,Centro Histórico,urban_secondary,20.588,-100.388,Combo Big Mac,99.0,,,99.0,15.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:30:27Z
playwright_uber_eats,uber_eats,MX_QRO_01,Querétaro,Centro Histórico,urban_secondary,20.588,-100.388,McNuggets 10 piezas,145.0,,,145.0,15.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:30:27Z
playwright_uber_eats,uber_eats,MX_TIJ_01,Tijuana,Zona Río,border_urban,32.53,-117.02,Coca-Cola 600ml,49.0,,,49.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:33:08Z
playwright_uber_eats,uber_eats,MX_TIJ_01,Tijuana,Zona Río,border_urban,32.53,-117.02,Combo Big Mac,129.0,,,129.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:33:08Z
playwright_uber_eats,uber_eats,MX_TIJ_01,Tijuana,Zona Río,border_urban,32.53,-117.02,McNuggets 10 piezas,149.0,,,149.0,10.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:33:08Z
playwright_uber_eats,uber_eats,MX_VER_01,Veracruz,Centro,coastal,19.173,-96.134,Coca-Cola 600ml,52.0,,,52.0,7.0,Texto promocional visible (sin clasificar),True,2026-04-02T17:38:21Z
playwright_uber_eats,uber_eats,MX_VER_01,Veracruz,Centro,coastal,19.173,-96.134,Combo Big Mac,,,,,7.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:38:21Z
playwright_uber_eats,uber_eats,MX_VER_01,Veracruz,Centro,coastal,19.173,-96.134,McNuggets 10 piezas,,,,,7.0,Texto promocional visible (sin clasificar),False,2026-04-02T17:38:21Z
